customer_id,month,category,payment_type,spend
CUST075,August,Groceries,Credit Card,3405.41
CUST181,October,Entertainment,UPI,5523.04
CUST067,May,Entertainment,Debit Card,16508.78
CUST054,July,Electronics,Credit Card,15618.32
CUST033,August,Groceries,Net Banking,6465.98
CUST065,September,Groceries,UPI,8314.14
CUST142,October,Entertainment,Credit Card,12395.55
CUST056,September,Electronics,Debit Card,2047.7
CUST132,October,Travel,Net Banking,5376.84
CUST083,July,Apparel,Credit Card,5854.96
CUST100,October,Electronics,UPI,4841.25
CUST156,October,Entertainment,Debit Card,9410.32
CUST190,May,Electronics,Net Banking,11364.42
CUST037,October,Groceries,UPI,12968.14
CUST157,July,Electronics,Net Banking,2343.85
CUST029,May,Groceries,Credit Card,3945.07
CUST068,July,Travel,Credit Card,17567.48
CUST027,June,Travel,Credit Card,5652.23
CUST094,September,Electronics,Credit Card,8762.85
CUST190,August,Entertainment,Debit Card,15258.24
CUST087,May,Entertainment,UPI,7143.99
CUST143,May,Travel,Credit Card,12248.47
CUST115,May,Apparel,Net Banking,16852.29
CUST172,August,Apparel,Debit Card,3991.97
CUST079,October,Electronics,Credit Card,3651.06
CUST006,August,Entertainment,UPI,17285.89
CUST023,September,Apparel,Credit Card,5930.11
CUST103,August,Travel,Credit Card,17672.64
CUST171,September,Travel,Debit Card,3423.48
CUST081,August,Groceries,UPI,2321.01
CUST177,May,Entertainment,Debit Card,10323.63
CUST138,June,Electronics,Net Banking,16708.95
CUST188,October,Groceries,UPI,17279.87
CUST148,June,Apparel,Net Banking,8071.18
CUST127,October,Entertainment,UPI,7645.68
CUST096,August,Apparel,Debit Card,12860.17
CUST193,September,Travel,Credit Card,1565.44
CUST144,May,Apparel,Credit Card,3526.31
CUST034,May,Electronics,Net Banking,11750.66
CUST144,October,Apparel,Credit Card,1799.36
CUST024,June,Apparel,Credit Card,18986.92
CUST079,October,Entertainment,Credit Card,8854.18
CUST182,September,Groceries,Debit Card,12858.59
CUST006,May,Electronics,Debit Card,19251.21
CUST037,May,Entertainment,Credit Card,12937.47
CUST169,May,Apparel,Net Banking,1992.6
CUST057,August,Apparel,Debit Card,14705.55
CUST158,June,Entertainment,UPI,2984.95
CUST142,July,Travel,UPI,2586.44
CUST004,July,Entertainment,Debit Card,11833.16
